algo vs matrices,time to train(sec),time to predict(sec),accuracy_score,precision_score,recall_score,f1_score,fbeta_score,matthews_corrcoef,jaccard_score,cohen_kappa_score,hamming_loss,zero_one_loss,mean_absolute_error,mean_squared_error,mean_squared_error,balanced_accuracy_score,explained_variance_score
DT,0.110,18.398,0.996,0.996,0.996,0.996,0.996,0.995,0.992,0.995,0.004,0.004,0.007,0.013,0.116,0.996,99.328
Linear Regression,0.021,2.723,0.752,0.795,0.752,0.756,0.775,0.697,0.615,0.690,0.248,0.248,0.288,0.372,0.610,0.751,81.321
Logistic Regression,0.074,851.584,0.920,0.921,0.920,0.920,0.921,0.900,0.854,0.900,0.080,0.080,0.126,0.235,0.485,0.920,88.214
KNN,433.495,0.332,0.995,0.995,0.995,0.995,0.995,0.994,0.990,0.994,0.005,0.005,0.008,0.015,0.124,0.995,99.233
Random Forest,9.171,365.323,0.997,0.997,0.997,0.997,0.997,0.997,0.995,0.997,0.003,0.003,0.005,0.009,0.095,0.997,99.550
MLP,0.763,2493.228,0.992,0.992,0.992,0.992,0.992,0.990,0.984,0.990,0.008,0.008,0.013,0.024,0.154,0.992,98.817
Bagging,1.458,155.430,0.997,0.997,0.997,0.997,0.997,0.996,0.994,0.996,0.003,0.003,0.005,0.010,0.101,0.997,99.486
J48,0.121,21.702,0.996,0.996,0.996,0.996,0.996,0.995,0.992,0.995,0.004,0.004,0.007,0.013,0.113,0.996,99.354
ANN,39.343,787.533,0.965,0.965,0.965,0.965,0.965,0.956,0.932,0.956,0.035,0.035,0.059,0.113,0.335,0.965,94.349
DNN,41.535,794.318,0.980,0.980,0.980,0.980,0.980,0.975,0.961,0.975,0.020,0.020,0.032,0.060,0.245,0.980,96.990
Gradient Boosting,6.920,4246.219,0.989,0.989,0.989,0.989,0.989,0.987,0.979,0.987,0.011,0.011,0.019,0.039,0.199,0.990,98.020
XGBoost,1.792,57.165,0.998,0.998,0.998,0.998,0.998,0.997,0.995,0.997,0.002,0.002,0.004,0.009,0.093,0.998,99.564
Gaussian Naive Bayes,0.913,1.479,0.628,0.649,0.628,0.539,0.528,0.572,0.414,0.537,0.372,0.372,0.492,0.822,0.907,0.639,58.987
Adaptive Gradient Boosting,37.363,4111.574,0.967,0.968,0.967,0.967,0.967,0.959,0.937,0.959,0.033,0.033,0.060,0.119,0.345,0.967,94.057
QDA,0.942,4.049,0.576,0.717,0.576,0.584,0.643,0.500,0.423,0.467,0.424,0.424,0.706,1.487,1.219,0.572,28.352
SNN,45.073,843.044,0.989,0.989,0.989,0.989,0.989,0.986,0.979,0.986,0.011,0.011,0.017,0.031,0.177,0.989,98.422
RBM,50.168,1011.731,0.211,0.202,0.211,0.151,0.149,0.000,0.086,0.000,0.789,0.789,1.512,3.632,1.906,0.200,-28.645
LSTM,172.909,10217.647,0.990,0.990,0.990,0.990,0.990,0.987,0.980,0.987,0.010,0.010,0.015,0.026,0.161,0.990,98.694
reconstruction_NN,52.193,953.816,0.982,0.982,0.982,0.982,0.982,0.977,0.964,0.977,0.018,0.018,0.029,0.053,0.231,0.982,97.314
DANN,40.309,935.520,0.981,0.981,0.981,0.981,0.981,0.976,0.963,0.976,0.019,0.019,0.031,0.059,0.244,0.981,97.022
DBN,3.569,1348.283,0.518,0.539,0.518,0.451,0.423,0.412,0.320,0.396,0.482,0.482,0.835,1.717,1.310,0.517,13.772
DBM,52.110,961.894,0.987,0.987,0.987,0.987,0.987,0.984,0.974,0.984,0.013,0.013,0.020,0.036,0.190,0.987,98.188
DA,44.297,1771.188,0.990,0.990,0.990,0.990,0.990,0.988,0.981,0.988,0.010,0.010,0.014,0.025,0.159,0.991,98.729
PassiveAggressiveClassifier,0.078,17.816,0.849,0.858,0.849,0.850,0.854,0.813,0.744,0.811,0.151,0.151,0.218,0.381,0.618,0.847,80.841
RidgeClassifier,0.081,1.985,0.877,0.883,0.877,0.877,0.880,0.847,0.782,0.846,0.123,0.123,0.198,0.388,0.623,0.876,80.624
NearestCentroid,0.119,0.544,0.707,0.812,0.707,0.703,0.748,0.661,0.565,0.632,0.293,0.293,0.576,1.310,1.144,0.700,45.826
